req_id,req_time,site_manager,device,backbone,task,latency
4334,66.74546608403415,site2,http://10.100.20.53:8001,chronostiny,heartrate,18.292665481567383
4335,66.74546608403415,site2,http://10.100.20.53:8001,chronostiny,ecgclass,17.749547958374023
4336,66.7660996633344,site2,http://10.100.20.53:8001,chronostiny,diasbp,9.972333908081055
4337,66.76695130069874,site2,http://10.100.20.53:8001,chronostiny,diasbp,25.926589965820312
4338,66.76862712504855,site2,http://10.100.20.53:8001,chronostiny,diasbp,33.100128173828125
4339,66.76862712504855,site2,http://10.100.20.53:8001,chronostiny,heartrate,36.52358055114746
4340,66.77346340210721,site2,http://10.100.20.53:8001,chronostiny,ecgclass,40.78865051269531
4341,66.77346340210721,site2,http://10.100.20.53:8001,chronostiny,sysbp,48.47002029418945
4342,66.77926725757628,site2,http://10.100.20.53:8001,chronostiny,diasbp,51.35393142700195
4343,66.78790349939425,site2,http://10.100.20.53:8001,chronostiny,sysbp,50.734758377075195
4344,66.79228770482696,site2,http://10.100.20.53:8001,chronostiny,diasbp,54.8245906829834
4345,66.79524269708152,site2,http://10.100.20.53:8001,chronostiny,sysbp,59.8444938659668
4346,66.79933853773062,site2,http://10.100.20.53:8001,chronostiny,heartrate,64.07523155212402
4347,66.80263008092567,site2,http://10.100.20.53:8001,chronostiny,diasbp,64.74590301513672
4348,66.80635216905449,site2,http://10.100.20.53:8001,chronostiny,ecgclass,65.72318077087402
4349,66.83682998503662,site2,http://10.100.20.53:8001,chronostiny,ecgclass,34.693002700805664
4350,66.87147098172179,site2,http://10.100.20.53:8001,chronostiny,sysbp,9.508848190307617
4351,66.88680247329513,site2,http://10.100.20.53:8001,chronostiny,heartrate,13.662099838256836
4352,66.88680247329513,site2,http://10.100.20.53:8001,chronostiny,ecgclass,13.069629669189453
4353,66.96003203750668,site2,http://10.100.20.53:8001,chronostiny,sysbp,9.935855865478516
