run_idx,req_idx,latency_ms,backbone_ms,decoder_ms,swap_ms,gpu_peak_mb
2,5,28.5626,27.9755,0.3595,0.0022,339.95
2,6,29.1691,28.6868,0.2761,0.0024,339.95
2,7,29.0896,28.5632,0.2997,0.002,339.95
2,8,29.2114,28.7064,0.2762,0.0021,339.95
2,9,29.4286,28.8854,0.2872,0.0025,339.95
2,10,29.4967,28.9685,0.3034,0.0021,339.95
2,11,29.8594,29.214,0.4144,0.0022,339.95
2,12,28.9771,28.4641,0.2917,0.0025,339.95
2,13,29.3367,28.8479,0.2765,0.002,339.95
2,14,28.8595,28.33,0.3099,0.0025,339.95
2,15,29.3567,28.8226,0.2964,0.0024,339.95
2,16,29.1531,28.6528,0.2655,0.0021,339.95
2,17,29.2211,28.6745,0.2938,0.0024,339.95
2,18,29.8171,29.2904,0.3049,0.0025,339.95
2,19,29.5519,28.8642,0.268,0.0019,339.95
2,20,29.6694,29.1603,0.2881,0.0022,339.95
2,21,28.969,28.4759,0.2803,0.0025,339.95
2,22,29.4371,28.9455,0.2738,0.0024,339.95
2,23,29.1337,28.6061,0.3023,0.0023,339.95
2,24,29.3868,28.8727,0.2707,0.0027,339.95
2,25,29.6533,29.1664,0.2757,0.0025,339.95
2,26,29.1317,28.5917,0.2984,0.0024,339.95
2,27,29.6074,29.0555,0.2944,0.0022,339.95
2,28,29.4307,28.4059,0.671,0.0059,339.95
2,29,29.5622,29.0834,0.2656,0.0021,339.95
2,30,29.9651,29.4768,0.2748,0.0025,339.95
2,31,29.6612,29.126,0.3081,0.0023,339.95
2,32,30.2692,29.7354,0.2832,0.0022,339.95
2,33,29.403,28.91,0.2784,0.0026,339.95
2,34,29.7217,29.2094,0.282,0.0022,339.95
2,35,29.6505,29.1627,0.2734,0.0019,339.95
2,36,29.2885,28.77,0.289,0.0025,339.95
2,37,29.7256,29.2143,0.2777,0.0022,339.95
2,38,28.9106,28.3805,0.2902,0.0023,339.95
2,39,29.7142,28.9132,0.2894,0.0023,339.95
2,40,28.9151,28.4288,0.2626,0.002,339.95
2,41,29.2574,28.7727,0.2729,0.0025,339.95
2,42,29.5192,28.9936,0.284,0.0022,339.95
2,43,29.3352,28.8377,0.2786,0.0021,339.95
2,44,29.8278,29.3012,0.2954,0.0026,339.95
2,45,29.1816,28.6838,0.2758,0.0081,339.95
2,46,29.5385,29.0401,0.284,0.0026,339.95
2,47,28.9552,28.4374,0.2995,0.0026,339.95
2,48,29.4419,28.908,0.2919,0.0026,339.95
2,49,30.0768,28.8697,0.9682,0.0026,339.95
2,50,29.2934,28.7852,0.2828,0.0022,339.95
2,51,29.6685,29.1774,0.2744,0.0022,339.95
2,52,28.8465,28.3258,0.2868,0.0028,339.95
2,53,29.3323,28.8413,0.2708,0.0026,339.95
2,54,29.0308,28.5292,0.2791,0.0022,339.95
2,55,29.3945,28.8771,0.291,0.0023,339.95
2,56,29.4808,28.9704,0.2668,0.0023,339.95
2,57,29.1547,28.6525,0.2876,0.0025,339.95
2,58,29.8445,29.3308,0.286,0.0022,339.95
2,59,29.3532,28.8499,0.2786,0.0018,339.95
2,60,30.0043,29.4933,0.291,0.0028,339.95
2,61,29.5334,29.039,0.2726,0.0022,339.95
2,62,29.9767,29.4719,0.2883,0.0024,339.95
2,63,30.2716,29.7354,0.2973,0.002,339.95
2,64,29.6293,29.116,0.2816,0.0024,339.95
2,65,29.8618,29.359,0.28,0.0024,339.95
2,66,29.276,28.757,0.2932,0.0025,339.95
2,67,29.7876,29.2864,0.2845,0.002,339.95
2,68,29.4528,28.928,0.2905,0.0029,339.95
2,69,29.497,28.9995,0.2744,0.0024,339.95
2,70,30.1509,29.3386,0.2737,0.0024,339.95
2,71,29.0389,28.5263,0.292,0.0023,339.95
2,72,29.5497,29.045,0.2693,0.002,339.95
2,73,29.0549,28.5562,0.2802,0.0022,339.95
2,74,29.553,29.0273,0.296,0.0024,339.95
2,75,29.5103,29.0043,0.2851,0.0018,339.95
2,76,29.3443,28.8272,0.2848,0.0032,339.95
2,77,29.872,29.3743,0.2742,0.0018,339.95
2,78,29.4217,28.9194,0.2758,0.0024,339.95
2,79,29.7832,29.244,0.3035,0.0025,339.95
2,80,29.4588,28.6124,0.5998,0.0021,339.95
